Player,npxG/90,npSh/90,Explosiveness
Darwin Núñez,0.6436170212765957,4.468085106382978,2.875735626980534
Erling Haaland,0.75,3.538961038961039,2.654220779220779
Deniz Undav,0.6428571428571429,3.857142857142857,2.479591836734694
Callum Wilson,0.722488038277512,3.2057416267942584,2.316109979167144
Eddie Nketiah,0.6776859504132231,3.388429752066116,2.2962912369373676
Reiss Nelson,0.45833333333333337,5.0,2.291666666666667
Salomón Rondón,0.6666666666666667,3.3333333333333335,2.2222222222222228
João Félix,0.4666666666666667,4.380952380952381,2.0444444444444447
Gabriel Jesus,0.5764192139737991,3.275109170305677,1.8878358536259798
Julio César Enciso,0.4444444444444444,4.222222222222222,1.876543209876543
Jhon Durán,0.39999999999999997,4.666666666666667,1.8666666666666667
Alejandro Garnacho,0.4761904761904762,3.8095238095238098,1.8140589569161
Evan Ferguson,0.5,3.3962264150943398,1.6981132075471699
Marcus Rashford,0.48125,3.375,1.62421875
Mohamed Salah,0.505464480874317,3.1967213114754096,1.6158290782047835
Maxwel Cornet,0.48148148148148145,3.333333333333333,1.604938271604938
Kelechi Iheanacho,0.504,2.96,1.49184
Diogo Jota,0.5158730158730159,2.7777777777777777,1.4329805996472664
Cristiano Ronaldo,0.3275862068965517,4.310344827586207,1.4120095124851368
Joe Gelhardt,0.33333333333333337,4.166666666666667,1.388888888888889
Harry Kane,0.4417989417989418,3.121693121693122,1.3791607177850564
Danny Welbeck,0.45631067961165045,3.0097087378640777,1.37336223960788
Aleksandar Mitrović,0.3856502242152466,3.452914798206278,1.331617366124394
Arnaut Danjuma,0.4210526315789474,3.1578947368421053,1.329639889196676
Sam Surridge,0.5,2.5,1.25
Jean-Philippe Mateta,0.3953488372093023,3.1395348837209305,1.241211465657112
Antony,0.32999999999999996,3.6,1.188
Roberto Firmino,0.4074074074074074,2.888888888888889,1.176954732510288
Anthony Martial,0.5045871559633027,2.293577981651376,1.15730999074152
Ellis Simms,0.36,3.2,1.152
Patrick Bamford,0.41666666666666663,2.738095238095238,1.1408730158730158
Luis Sinisterra,0.3854166666666667,2.916666666666667,1.1241319444444446
Alexander Isak,0.39644970414201186,2.781065088757397,1.102552431637548
Julián Álvarez,0.38036809815950917,2.7607361963190185,1.0500959765139823
Danny Ings,0.41304347826086957,2.5,1.0326086956521738
Rodrigo,0.3395348837209302,3.0232558139534884,1.026500811249324
Ollie Watkins,0.42939481268011526,2.3631123919308354,1.0147082028752001
Neal Maupay,0.3870967741935484,2.5806451612903225,0.9989594172736732
Ivan Toney,0.4024390243902439,2.439024390243903,0.9815585960737658
Taiwo Awoniyi,0.4230769230769231,2.2435897435897436,0.9492110453648915
Bertrand Traoré,0.2692307692307692,3.4615384615384612,0.9319526627218934
Cody Gakpo,0.3827160493827161,2.4074074074074074,0.9213534522176499
Kai Havertz,0.37894736842105264,2.4210526315789473,0.9174515235457064
Dominic Calvert-Lewin,0.38759689922480617,2.248062015503876,0.8713418664743705
Pablo Sarabia,0.3647058823529412,2.3529411764705883,0.8581314878892735
Fabio Carvalho,0.2820512820512821,2.8205128205128207,0.7955292570677188
Son Heung-min,0.3146417445482866,2.5233644859813085,0.7939558040003494
Cole Palmer,0.29268292682926833,2.682926829268293,0.7852468768590126
Leandro Trossard,0.30136986301369867,2.6027397260273974,0.7843873146931883
Martin Ødegaard,0.2881844380403458,2.680115273775216,0.7723675140562583
Gabriel Martinelli,0.30000000000000004,2.5483870967741935,0.7645161290322582
Miguel Almirón,0.2888086642599278,2.490974729241877,0.7194150842575818
Richarlison,0.29464285714285715,2.410714285714286,0.7102997448979593
Harvey Barnes,0.2956810631229236,2.3920265780730894,0.7072769616229401
Gianluca Scamacca,0.24271844660194172,2.9126213592233006,0.7069469318503157
Paul Onuachu,0.2888888888888889,2.4444444444444446,0.7061728395061729
James Maddison,0.23913043478260868,2.934782608695652,0.7017958412098297
Lucas Moura,0.29411764705882354,2.3529411764705883,0.6920415224913495
Dominic Solanke,0.2861635220125786,2.389937106918239,0.6839128199042759
Alex Oxlade-Chamberlain,0.35135135135135137,1.8918918918918919,0.664718772826881
Solly March,0.2682119205298013,2.4503311258278146,0.6572080171922284
Phil Foden,0.2878048780487805,2.2439024390243905,0.6458060678167759
Che Adams,0.2986425339366515,2.1266968325791855,0.6351221309964987
Kaoru Mitoma,0.313953488372093,2.0155038759689923,0.6327744726879394
Michail Antonio,0.3251231527093596,1.921182266009852,0.6246208352544347
Pierre-Emerick Aubameyang,0.24193548387096772,2.5806451612903225,0.6243496357960457
Emmanuel Dennis,0.2375,2.625,0.6234375
Danny Ings,0.3488372093023256,1.744186046511628,0.6084369929691725
Bukayo Saka,0.2577903682719547,2.3512747875354107,0.6061359933873155
Patson Daka,0.26515151515151514,2.272727272727273,0.6026170798898072
Naouirou Ahamada,0.2,3.0,0.6000000000000001
Jay Stansfield,0.3,2.0,0.6
Bryan Mbeumo,0.2786377708978328,2.1362229102167185,0.5952323898436677
Raheem Sterling,0.29523809523809524,2.0,0.5904761904761905
Raúl Jiménez,0.2765957446808511,2.127659574468085,0.5885015844273427
Anthony Gordon,0.27049180327868855,2.1311475409836067,0.5764579414135986
Yoane Wissa,0.3146067415730337,1.797752808988764,0.5655851533897235
Leon Bailey,0.24200913242009134,2.328767123287671,0.5635829111152812
Naby Keïta,0.18181818181818182,3.0303030303030303,0.5509641873278237
Luis Díaz,0.22522522522522523,2.4324324324324325,0.547845142439737
Gustavo Scarpa,0.15,3.5,0.525
Morgan Gibbs-White,0.35,1.5,0.5249999999999999
Alexis Mac Allister,0.22741433021806853,2.305295950155763,0.5242573344590987
Eberechi Eze,0.22184300341296928,2.354948805460751,0.5224289158871973
Elliot Anderson,0.2173913043478261,2.3913043478260874,0.5198487712665408
İlkay Gündoğan,0.2567049808429119,1.9923371647509578,0.511442873710016
Joe Willock,0.24647887323943662,2.0422535211267605,0.5033723467565959
Kevin De Bruyne,0.20817843866171004,2.41635687732342,0.5030334019706748
Kieffer Moore,0.3098591549295775,1.619718309859155,0.5018845467169213
Bruno Fernandes,0.20923913043478262,2.3913043478260874,0.5003544423440455
Daniel James,0.24637681159420288,2.0289855072463765,0.4998949800462087
Mykhailo Mudryk,0.2602739726027397,1.9178082191780823,0.49915556389566523
Ayoze Pérez,0.2619047619047619,1.9047619047619047,0.4988662131519274
Jacob Murphy,0.23741007194244604,2.0863309352517985,0.49531597743388023
Dango Ouattara,0.2608695652173913,1.8840579710144927,0.4914933837429111
Saïd Benrahma,0.16956521739130434,2.8260869565217392,0.4792060491493384
Diego Costa,0.2318840579710145,2.0289855072463765,0.470489392984667
Anthony Gordon,0.31481481481481477,1.4814814814814814,0.46639231824417
Wilfried Zaha,0.1889763779527559,2.440944881889764,0.46128092256184516
Carlos Vinícius,0.26829268292682923,1.7073170731707317,0.4580606781677572
Matheus Cunha,0.1869158878504673,2.429906542056075,0.45418813870207014
Sekou Mara,0.16129032258064516,2.7419354838709675,0.44224765868886573
Armando Broja,0.24242424242424246,1.8181818181818183,0.4407713498622591
Andreas Pereira,0.2173913043478261,2.0066889632107023,0.4362367311327614
Daniel Podence,0.19796954314720813,2.182741116751269,0.4321162616918756
Emi Buendía,0.23507462686567163,1.828358208955224,0.42980062374693695
Jarrod Bowen,0.21727019498607242,1.977715877437326,0.4296987143178591
Riyad Mahrez,0.22065727699530516,1.9248826291079812,0.42473935947453106
David Brooks,0.15789473684210525,2.6315789473684212,0.41551246537396125
Joelinton,0.23986486486486483,1.7229729729729728,0.4132806793279765
Odsonne Édouard,0.21000000000000002,1.95,0.40950000000000003
Tetê,0.21951219512195125,1.829268292682927,0.4015466983938133
Christian Pulisic,0.18681318681318682,2.087912087912088,0.3900495109286318
Facundo Buonanotte,0.2222222222222222,1.746031746031746,0.3880070546737213
Kevin Schade,0.2592592592592593,1.4814814814814816,0.384087791495199
Sam Greenwood,0.14893617021276595,2.553191489361702,0.3802625622453598
Philippe Coutinho,0.15909090909090906,2.3863636363636362,0.3796487603305784
Christian Eriksen,0.21929824561403508,1.7105263157894737,0.3751154201292705
Jeremy Sarmiento,0.15,2.5,0.375
Fabio Vieira,0.14035087719298245,2.631578947368421,0.3693444136657433
Gonçalo Guedes,0.15189873417721517,2.4050632911392404,0.36532606954013774
Leander Dendoncker,0.2916666666666667,1.25,0.36458333333333337
Jack Grealish,0.20175438596491227,1.7982456140350878,0.36280393967374575
Jamie Vardy,0.28640776699029125,1.262135922330097,0.36148553115279475
Kamaldeen Sulemana,0.15887850467289721,2.2429906542056077,0.3563630011354704
Ryan Sessegnon,0.17777777777777778,2.0,0.35555555555555557
Wout Weghorst,0.2247191011235955,1.5730337078651684,0.35349072086857714
Carlos Alcaraz,0.16666666666666666,2.1052631578947367,0.3508771929824561
Crysencio Summerville,0.18354430379746833,1.8354430379746836,0.3368851145649735
Emile Smith Rowe,0.15789473684210525,2.1052631578947367,0.33240997229916897
Demarai Gray,0.16845878136200718,1.9713261648745521,0.3320872034018063
Hwang Hee-chan,0.23015873015873015,1.4285714285714286,0.3287981859410431
Manor Solomon,0.18749999999999997,1.71875,0.32226562499999994
Lucas Paquetá,0.1506276150627615,2.1338912133891212,0.3214229442761856
Anthony Elanga,0.14893617021276595,2.127659574468085,0.31688546853779986
Matías Viña,0.17647058823529413,1.7647058823529413,0.3114186851211073
Marcus Tavernier,0.1597938144329897,1.907216494845361,0.30476139866085666
Diego Carlos,0.1739130434782609,1.7391304347826089,0.3024574669187146
Tom Davies,0.19999999999999998,1.5,0.3
Pedro Porro,0.14285714285714288,2.0634920634920637,0.2947845804988663
Allan Saint-Maximin,0.12903225806451613,2.258064516129032,0.291363163371488
Leandro Trossard,0.17475728155339806,1.6504854368932038,0.28843434819492886
Brennan Johnson,0.19018404907975459,1.5030674846625767,0.28585946027325077
Theo Walcott,0.17600000000000002,1.6,0.2816
Chris Wood,0.2,1.4,0.27999999999999997
Siriki Dembélé,0.16666666666666669,1.6666666666666667,0.27777777777777785
Yerry Mina,0.2272727272727273,1.2121212121212122,0.27548209366391185
Keane Lewis-Potter,0.1388888888888889,1.9444444444444444,0.27006172839506176
Fred,0.14388489208633093,1.870503597122302,0.26913720821903625
Tom Cairney,0.13636363636363635,1.9090909090909092,0.26033057851239666
Mikkel Damsgaard,0.23636363636363636,1.0909090909090908,0.2578512396694215
Jadon Sancho,0.22459893048128343,1.1229946524064172,0.25222339786668196
Willian,0.14406779661016947,1.7372881355932202,0.2502872737719046
Jaidon Anthony,0.15714285714285717,1.5714285714285714,0.24693877551020413
Hamed Junior Traorè,0.19148936170212766,1.276595744680851,0.24445450430058846
Harry Wilson,0.1639344262295082,1.4754098360655739,0.2418704649287826
Adam Armstrong,0.14189189189189189,1.689189189189189,0.23968224981738492
Harvey Elliott,0.11731843575418996,2.011173184357542,0.23594769201959992
Brenden Aaronson,0.14772727272727273,1.5530303030303032,0.22942493112947662
Stuart Armstrong,0.15384615384615385,1.4743589743589745,0.22682445759368838
Morgan Gibbs-White,0.13333333333333333,1.6666666666666667,0.22222222222222224
